filename,page_number,chunk_number,chunk
VB.NET_CODING_IN_UIPATH.pdf,1,1,1 | P a
VB.NET_CODING_IN_UIPATH.pdf,1,2, g e C 
VB.NET_CODING_IN_UIPATH.pdf,1,3,l i c k
VB.NET_CODING_IN_UIPATH.pdf,1,4, t o fo
VB.NET_CODING_IN_UIPATH.pdf,1,5, l l o w
VB.NET_CODING_IN_UIPATH.pdf,2,1,2 | P a g e C l i c k t o fo l l o w The Best UiPath RPA Courses by Leon Pet
VB.NET_CODING_IN_UIPATH.pdf,2,2,rou STEP 1: Go from Beginner to Intermediate with UiPat h RPA Complete UiPat
VB.NET_CODING_IN_UIPATH.pdf,2,3,h RPA Developer Course : Build 7 Robots Click here for 95% off Coupon Free R
VB.NET_CODING_IN_UIPATH.pdf,2,4,PA Training / Webinar Click here for Free Training STEP 2: Go from Intermedi
VB.NET_CODING_IN_UIPATH.pdf,2,5,ate to Advanced with UiPath RPA Complete RPA Bootcamp Click here to learn more
VB.NET_CODING_IN_UIPATH.pdf,3,1,3 | P a g e C l i c k t o fo l l o w Contents 1 Introduction ................................ ................................ ................................ ................................ ................................ ... 1 1.1 Why I Wrote this eBook ................................ ................................ ................................ ................................ .......... 1 1.2 Why Do We Need to Use VB.NET in UiPath? ................................ ................................ ................................ .......... 1 1.3 What is VB.NET ................................ ................................ ................................ ................................ ....................... 1 1.4 About the Au thor ................................ ................................ ................................ ................................ .................... 2 1.5 How to Land a High Paying Job as an RPA Developer? ................................ ................................ ........................... 2 1.6 How to Get Free UiPath Support? ................................ .....
VB.NET_CODING_IN_UIPATH.pdf,3,2,........................... ................................ .......................... 2 1.7 Example of Using VB.NET ................................ ................................ ................................ ................................ ........ 2 1.8 Terminology ................................ ................................ ................................ ................................ ............................ 6 1.9 Symbols ................................ ................................ ................................ ................................ ................................ ... 6 1.10 VB.NET Reference Cheat Sheet ................................ ................................ ................................ ............................. 8 2. Excel ................................ ................................ ................................ ................................ ................................ .............. 9 2.1 How to Count Rows in a DataTable ................................ ................................ ................................ ........................
VB.NET_CODING_IN_UIPATH.pdf,3,3, 9 2.2 How to Get a DataTable With Specified Columns ................................ ................................ ................................ 11 2.3 How to Get the Sheet Name From Excel ................................ ................................ ................................ .............. 13 2.4 How to Get Top N Records from a DataTable ................................ ................................ ................................ ....... 15 2.5 How to Find the Max and Average Value from a DataTable ................................ ................................ ................. 17 2.6 How to Reorder Columns in a DataTable ................................ ................................ ................................ .............. 19 2.7 How to Rename DataTable Columns ................................ ................................ ................................ .................... 22 2.8 How to Convert a DataTable Column to a List ................................ ................................ ................................ ...... 24 2.9 How to Only Get the Headers From a Datatable 
VB.NET_CODING_IN_UIPATH.pdf,3,4,................................ ................................ ................................ .. 26 2.10 How to Reverse a DataTable ................................ ................................ ................................ ............................... 28 2.11 How to Remove Duplicates from a Datatable ................................ ................................ ................................ .... 30 2.12 How to Transpose a DataTable ................................ ................................ ................................ ........................... 32 2.13 How to Compare Two Excel Files of the Same Format and Get Matched Data ................................ ................. 34 2.14 How to Find Common/Uncommon Rows Between Two Datatables ................................ ................................ .. 36 2.15 How to Include a HTML Table in Mail Body with Dynamic Values ................................ ................................ ..... 39 3 File / Folder Operations ................................ ................................ ................................ ....................
VB.NET_CODING_IN_UIPATH.pdf,3,5,"............ ............... 42 3.1 How to Get the Latest File from a Folder ................................ ................................ ................................ .............. 42 3.2 How to Delete Multiple Files in a Folder ................................ ................................ ................................ ............... 44 3.3 How to Get Specific Types of Files from a Folder ................................ ................................ ................................ . 47 4 Text and List Manipulations ................................ ................................ ................................ ................................ ......... 49 4.1 How to Read / Write to a Text File ................................ ................................ ................................ ........................ 49 4.2 How to Define a Dictionary, Add Items To a Dictionary and Access Items From a Dictionary ............................. 51 4.3 How to Use Regular Expres sions (Regex) ................................ ................................ ................................ .............. 54"
VB.NET_CODING_IN_UIPATH.pdf,4,1,"4 | P a g e C l i c k t o fo l l o w 4.4 How to Initialize, Add and Removed Items from a List ................................ ................................ ......................... 59 4.5 How to Trim / Clean a String ................................ ................................ ................................ ................................ . 62 4.6 How to Split a String ................................ ................................ ................................ ................................ .............. 65 4.7 How to Replace Text in a String ................................ ................................ ................................ ............................ 68 4.8 How to Find Common/Uncommon Items Between Two Lists ................................ ................................ .............. 70 4.9 How to Check If a String is Numeric ................................ ......................"
VB.NET_CODING_IN_UIPATH.pdf,4,2,.......... ................................ ...................... 73 4.10 How to Get the Word Count from a String ................................ ................................ ................................ ......... 75 4.11 How to Count the Characters in a String ................................ ................................ ................................ ............ 76 4.12 How to Convert a List to an Array ................................ ................................ ................................ ....................... 78 4.13 How to Reverse a String ................................ ................................ ................................ ................................ ...... 80 4.14 How to Convert a SecureString DataType to a String DataType ................................ ................................ ......... 82 5 Email ................................ .............................
VB.NET_CODING_IN_UIPATH.pdf,4,3,"... ................................ ................................ ................................ ............. 85 5.1 How to Retrieve E -mail Body / Subject / Sender Details ................................ ................................ ...................... 85 5.2 How to Download Specific Files from a Mail ................................ ................................ ................................ ........ 88 5.3 How to Reverse a Mail List ................................ ................................ ................................ ................................ .... 91 6 DateTime Operations ................................ ................................ ................................ ................................ ................... 94 6.1 How to Find the Date Difference (Days, Months and Years) ................................ ................................ ................ 94 6.2 How to C"
VB.NET_CODING_IN_UIPATH.pdf,4,4,ompare Time in UiPath ................................ ................................ ................................ .......................... 96 6.3 How to Get the Amount of Days in a Month ................................ ................................ ................................ ........ 98 6.4 How to Convert a DateTime to String ................................ ................................ ................................ ................... 99 6.5 How to Convert Milliseconds to TimeSpan ................................ ................................ ................................ ......... 100 6.6 How to Convert TimeStamp to 12/24hrs Format ................................ ................................ ............................... 101 6.7 How to Convert String to DateTime and DateTime Manipulation ................................ ................................ ..... 102 7 Invoke Code .......
VB.NET_CODING_IN_UIPATH.pdf,4,5,......................... ................................ ................................ ................................ ................................ 106 7.1 How to Sum a Column Using Invoke Code ................................ ................................ ................................ .......... 106 7.2 How to Process and Add a Column Using Invoke Code ................................ ................................ ...................... 109 8 Conclusion ................................ ................................ ................................ ................................ ................................ .. 112 8.1 Where to Look for VB.NET Code if You Can’t Find it in this Guide? ................................ ................................ .... 112 8.2 How to Take Your UiPath RPA Skills to an Advanced Level? ................................ ................................ ............... 112
VB.NET_CODING_IN_UIPATH.pdf,5,1,"1 | P a g e C l i c k t o fo l l o w 1 Introduction 1.1 Why I Wrote This eBook UiPath is primarily drag-and-drop and does not require much coding. This h as attracted many non - programmers to start learning and using UiPath to develop automations. These non -programmers usually reach a hurdle when they need to write some VB. NET code to expand their bots’ functionality but have no idea how to write code. Leaving you stuck, co"
VB.NET_CODING_IN_UIPATH.pdf,5,2,"nfused, and needing to hire expensive developers or learn a new programming language, which not to mention has a steep learning curve for non -programmers. That is why I wrote this book. It is a n easy to understand , step-by-step instructional guide on how to use VB.net in UiPath with the most common use -cases of VB.NET in UiPath for industry projects. This book can be used both as a learning resource and as a quick -referen"
VB.NET_CODING_IN_UIPATH.pdf,5,3,"ce go-to guide for VB.NET while building your automations. 1.2 Why Do We Need to Use VB.NET in UiPath? Process automation functionality of the UiPath Activities are limited to th e Activities provided . However, many processes require additional functionality which are not provided by the suite of activities. Note that the activities in UiPath are simply code packaged into use r-friendly activities to speed up the development "
VB.NET_CODING_IN_UIPATH.pdf,5,4,"process. If you need functionality not provided by UiPath Activities, you can most likely do it with VB. NET code. Therefore, we need VB. NET in UiPath to expand the functionality of our automations to build more advanced automations. 1.3 What is VB.NET VB.NET stands for Visual Basic .NET, and it is a computer programming language developed by Microsoft. VB.NET is an object -oriented programmin g language (meaning it is made u"
VB.NET_CODING_IN_UIPATH.pdf,5,5,"p of data objects, made up of various properties and can perform different functions). Visual Basic runs on the .NET framework, which means that it has full access to the .NET libraries. It is a very productive tool for rapi d creation of a wide range of Web, Windows, Office, and Mobile applications that have been built on the .NET framework. We will be using .NET to add additionally functionality to our bots developed in UiPath."
VB.NET_CODING_IN_UIPATH.pdf,6,1,"2 | P a g e C l i c k t o fo l l o w 1.4 About the Author My name is Leon Petrou . I am an engineer and educator. I graduated from the University of Pretoria with a Bachelor of Engineering (BEng) degree with distinction (specialised in Industrial and Systems Engin eering). I’m an experienced Robotic Process Automation (RPA) developer, award winning Udemy Inst"
VB.NET_CODING_IN_UIPATH.pdf,6,2,"ructor and founder at FutureRPA , a smart automation consultancy where we use RPA to streamline our clients' business processes. I’m also the lead instructor of the Complete RPA Bootcamp where I coach my students to develop their advanced technical skills in RPA so that they can launch their careers as RPA Developer s. 1.5 How to Land a High Paying Job as an "
VB.NET_CODING_IN_UIPATH.pdf,6,3,"RPA Developer? Watch the free training / webinar here: https://www.completerpabootcamp.com/rpatr aining 1.6 How to Get Free UiPath Support? Join o ur private Facebook group to ask any of your RPA / UiPath / VB.NET questions : https://www.facebook.com/groups/2481744772043143/ 1.7 Example of Using VB.NET Let’s say a user inputs a number, then we want to find th"
VB.NET_CODING_IN_UIPATH.pdf,6,4,"e square root of that number and display in a message box like so, “The answer is X”. You can download this example here: https://drive.google.com/drive/folders/1El3J8Ej -7Fe6pDiCQykSNXVVcQW2iq54?usp=sharing Let’s see how to build this workflow… Step 1: We drag in an “Input Dialog ” activit y for the user to enter a number . We save the number is a string var"
VB.NET_CODING_IN_UIPATH.pdf,6,5,iable. Step 2: We convert the string to a double (which is a number which can contain decimals and negative values ) using an “Assign” activity. We do the conversion because we can perform mathematical calculations with a double but we can’t with a text string. We use this code: convert.ToDouble(stringNumber) Note: Replace stringNumber with your string variable
VB.NET_CODING_IN_UIPATH.pdf,7,1,3 | P a g e C l i c k t o fo l l o w Remember to set the doubleNu mber variable to a System.Double type in the variable panel. Step 3: Write this code in a “Message box ” a
VB.NET_CODING_IN_UIPATH.pdf,7,2,"ctivity . Note that a “Message box ” activity requires a String input. ""The answer is "" + Math.Sqrt(doubleNumber).ToString In VB.NET we w rite a string in double quotation "
VB.NET_CODING_IN_UIPATH.pdf,7,3,"marks like this ""The answer is "" or we can use the .ToString method to convert a variable or expression to a string as we use above. To concatenate (or combine ) two string"
VB.NET_CODING_IN_UIPATH.pdf,7,4,"s together into one, we use a + like we do above. To calculate the square root, we can use the Math function from the “System” namespace. If the “System” namespace is alrea"
VB.NET_CODING_IN_UIPATH.pdf,7,5,"dy imported in your Imports panel, then you can simply use the Math function directly. Else, if the System namespace is not already imported you will have to write System.Math"
VB.NET_CODING_IN_UIPATH.pdf,8,1,4 | P a g e C l i c k t o fo l l o w You can import a namespace by simply typing it in to the search bar in the ‘Import s’ panel whe
VB.NET_CODING_IN_UIPATH.pdf,8,2,re it says “Enter or select namespace” . If you enter a period after the math function you will see a list of methods in the math fu
VB.NET_CODING_IN_UIPATH.pdf,8,3,"nction. Like so : Since we are calculating the square root, we want to select the Sqrt() method. You can see the Sqrt() method requi"
VB.NET_CODING_IN_UIPATH.pdf,8,4,"res a parameter as a ‘double ’ data type. So , inside the brackets, we add in our doubleNumber varia ble: Note that we are getting a"
VB.NET_CODING_IN_UIPATH.pdf,8,5,"n error as can be seen by the blue exclamation mark. If we hover our pointer over the exclamation mark, we can read the error message."
VB.NET_CODING_IN_UIPATH.pdf,9,1,5 | P a g e C l i c k t o fo l l o w The error above is because the expression Math.Sqrt(doubl
VB.NET_CODING_IN_UIPATH.pdf,9,2,"eNumber) is of data type ‘ Double’ but the “Message Box” requires a ‘ String’ data type, so we"
VB.NET_CODING_IN_UIPATH.pdf,9,3, can simply convert the double to a string using the .ToString method like so : Math.Sqrt(doub
VB.NET_CODING_IN_UIPATH.pdf,9,4,"leNumber).ToS tring The error is now gone! Step 4: We run the workflow, enter a number in to t"
VB.NET_CODING_IN_UIPATH.pdf,9,5,he input dialog and see the output in a message box popup . In this case I entered the number 5.
VB.NET_CODING_IN_UIPATH.pdf,10,1,6 | P a g e C l i c k t o fo l l o w 1.8 Terminology Using the example from above: System. Math .Sqrt( doubleNumber ).ToString System is the namespace Math is 
VB.NET_CODING_IN_UIPATH.pdf,10,2,the function Sqrt() is the method of the Math function doubleNumber is the parameter (here we entered ou r doubleNumber local variable) ToString is also a meth
VB.NET_CODING_IN_UIPATH.pdf,10,3,od You can learn more about the Math function and methods here and you can learn more about the .ToString method here. 1.9 Symbols If you click CTRL+SPACE whil
